title,link,authors,publication
The neighbor-joining method: a new method for reconstructing phylogenetic trees.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:u5HHmVD_uO8C,"N Saitou, M Nei","Molecular biology and evolution 4 (4), 406-425, 1987"
"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Tyk-4Ss8FVUC,"K Tamura, D Peterson, N Peterson, G Stecher, M Nei, S Kumar","Molecular biology and evolution 28 (10), 2731-2739, 2011"
MEGA6: molecular evolutionary genetics analysis version 6.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:qmtmRrLr0tkC,"K Tamura, G Stecher, D Peterson, A Filipski, S Kumar","Molecular biology and evolution 30 (12), 2725-2729, 2013"
MEGA4: molecular evolutionary genetics analysis (MEGA) software version 4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:u-x6o8ySG0sC,"K Tamura, J Dudley, M Nei, S Kumar","Molecular biology and evolution 24 (8), 1596-1599, 2007"
Molecular evolutionary genetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:d1gkVwhDpl0C,M Nei,"Columbia university press, 1987"
MEGA2: molecular evolutionary genetics analysis software,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:IjCSPb-OGe4C,"S Kumar, K Tamura, IB Jakobsen, M Nei","Bioinformatics 17 (12), 1244-1245, 2001"
Estimation of average heterozygosity and genetic distance from a small number of individuals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:2osOgNQ5qMEC,M Nei,"Genetics 89 (3), 583-590, 1978"
MEGA3: integrated software for molecular evolutionary genetics analysis and sequence alignment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:9yKSN-GCB0IC,"S Kumar, K Tamura, M Nei","Briefings in bioinformatics 5 (2), 150-163, 2004"
Mathematical model for studying genetic variation in terms of restriction endonucleases,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:qjMakFHDy7sC,"M Nei, WH Li","Proceedings of the National Academy of Sciences 76 (10), 5269-5273, 1979"
Genetic distance between populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:UeHWp8X0CEIC,M Nei,"The American Naturalist 106 (949), 283-292, 1972"
