title,link,price,rating,reviews,phone,snippet,thumbnail
Jewboy Burgers,https://www.yelp.com/biz/jewboy-burgers-austin?osq=burger,$$,4.5,875,(512) 291-3358,"the photos, it's a super cheesy burger, which is always a good thing. I loved it. And the only thing",https://s3-media0.fl.yelpcdn.com/bphoto/jG65IPi0YNBEt-EJhteJ3g/348s.jpg
Buddy’s Burger,https://www.yelp.com/biz/buddys-burger-austin?osq=burger,$,4.0,308,(512) 401-3325,I ordered 2 burgers and 2 fries. The burgers were nasty falling apart scraps of bad meat with big,https://s3-media0.fl.yelpcdn.com/bphoto/TaEYsvAFkZx6G3gMY9D2ow/348s.jpg
5280 Burger and Taphouse,https://www.yelp.com/biz/5280-burger-and-taphouse-austin?osq=burger,$$,4.5,71,(512) 580-6016,"I had high hopes for this burger joint, what with, at the time of my writing, had and average",https://s3-media0.fl.yelpcdn.com/bphoto/eC8WgbmNpSwtP3yTyM2cHA/348s.jpg
Lebowski’s Grill,https://www.yelp.com/biz/lebowskis-grill-austin?osq=burger,$,4.5,354,(512) 419-7166,"Everyone who works here is friendly, the food is excellent I would rate it the best burger I've had",https://s3-media0.fl.yelpcdn.com/bphoto/St43HdEJWqgG0eLAVvKshg/348s.jpg
Hopdoddy Burger Bar,https://www.yelp.com/biz/hopdoddy-burger-bar-austin?osq=burger,$$,4.0,4880,(512) 243-7505,This is the third time I've ordered from this Hopdoddy location and my burger was undercooked. Meat,https://s3-media0.fl.yelpcdn.com/bphoto/isEobbaCKXB6DDIRXSu0Bg/348s.jpg
Smash ATX,https://www.yelp.com/biz/smash-atx-austin?osq=burger,$$,4.5,14,(737) 263-0555,you have to be 21+ which they don't advertise especially as a burger place :/ unfortunate,https://s3-media0.fl.yelpcdn.com/bphoto/hmlaQS4ZSkh0tQd199CvJQ/348s.jpg
Wholly Cow,https://www.yelp.com/biz/wholly-cow-austin?osq=burger,$,4.0,636,(512) 394-8156,Burgers on the pricier side ($10 for a double cheeseburger) but SO with it! The service,https://s3-media0.fl.yelpcdn.com/bphoto/CnSGeNuiIqsRh1IjmvB9Vg/348s.jpg
Dan’s Hamburgers - Austin,https://www.yelp.com/biz/dans-hamburgers-austin-austin-2?osq=burger,$,4.0,391,(512) 459-3239,"Just like I remember! A great, trustworthy burger. Curly fries are seasoned well and cooked",https://s3-media0.fl.yelpcdn.com/bphoto/NR8gEA543RtlFvf3dtW0xQ/348s.jpg
Golden Tiger,https://www.yelp.com/biz/golden-tiger-austin?osq=burger,$$,4.5,124,,"Mann, really wanted this place to be a hit. Waited 50 min for a burger and a sandwich on a slow day",https://s3-media0.fl.yelpcdn.com/bphoto/KtbW0Z_lbcgEPsq_ympOSQ/348s.jpg
That Burger,https://www.yelp.com/biz/that-burger-austin-2?osq=burger,,5.0,5,(347) 260-6057,"As a resident of the domain, there is no shortage of restaurants that serve burgers, and they all",https://s3-media0.fl.yelpcdn.com/bphoto/Lrhq8lfLgx7ViyFbFve9hA/348s.jpg
