title,link,authors,publication,citation_id
The neighbor-joining method: a new method for reconstructing phylogenetic trees.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:u5HHmVD_uO8C,"N Saitou, M Nei","Molecular biology and evolution 4 (4), 406-425, 1987",VxOmZDgAAAAJ:u5HHmVD_uO8C
"MEGA5: molecular evolutionary genetics analysis using maximum likelihood, evolutionary distance, and maximum parsimony methods",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Tyk-4Ss8FVUC,"K Tamura, D Peterson, N Peterson, G Stecher, M Nei, S Kumar","Molecular biology and evolution 28 (10), 2731-2739, 2011",VxOmZDgAAAAJ:Tyk-4Ss8FVUC
MEGA6: molecular evolutionary genetics analysis version 6.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:qmtmRrLr0tkC,"K Tamura, G Stecher, D Peterson, A Filipski, S Kumar","Molecular biology and evolution 30 (12), 2725-2729, 2013",VxOmZDgAAAAJ:qmtmRrLr0tkC
MEGA4: molecular evolutionary genetics analysis (MEGA) software version 4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:u-x6o8ySG0sC,"K Tamura, J Dudley, M Nei, S Kumar","Molecular biology and evolution 24 (8), 1596-1599, 2007",VxOmZDgAAAAJ:u-x6o8ySG0sC
Molecular evolutionary genetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:d1gkVwhDpl0C,M Nei,"Columbia university press, 1987",VxOmZDgAAAAJ:d1gkVwhDpl0C
MEGA2: molecular evolutionary genetics analysis software,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:IjCSPb-OGe4C,"S Kumar, K Tamura, IB Jakobsen, M Nei","Bioinformatics 17 (12), 1244-1245, 2001",VxOmZDgAAAAJ:IjCSPb-OGe4C
Estimation of average heterozygosity and genetic distance from a small number of individuals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:2osOgNQ5qMEC,M Nei,"Genetics 89 (3), 583-590, 1978",VxOmZDgAAAAJ:2osOgNQ5qMEC
MEGA3: integrated software for molecular evolutionary genetics analysis and sequence alignment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:9yKSN-GCB0IC,"S Kumar, K Tamura, M Nei","Briefings in bioinformatics 5 (2), 150-163, 2004",VxOmZDgAAAAJ:9yKSN-GCB0IC
Mathematical model for studying genetic variation in terms of restriction endonucleases,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:qjMakFHDy7sC,"M Nei, WH Li","Proceedings of the National Academy of Sciences 76 (10), 5269-5273, 1979",VxOmZDgAAAAJ:qjMakFHDy7sC
Genetic distance between populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:UeHWp8X0CEIC,M Nei,"The American Naturalist 106 (949), 283-292, 1972",VxOmZDgAAAAJ:UeHWp8X0CEIC
Estimation of the number of nucleotide substitutions in the control region of mitochondrial DNA in humans and chimpanzees.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Y0pCki6q_DkC,"K Tamura, M Nei","Molecular biology and evolution 10 (3), 512-526, 1993",VxOmZDgAAAAJ:Y0pCki6q_DkC
Analysis of gene diversity in subdivided populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:zYLM7Y9cAGgC,M Nei,"Proceedings of the national academy of sciences 70 (12), 3321-3323, 1973",VxOmZDgAAAAJ:zYLM7Y9cAGgC
Molecular evolution and phylogenetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:YsMSGLbcyi4C,"M Nei, S Kumar","Oxford University Press, USA, 2000",VxOmZDgAAAAJ:YsMSGLbcyi4C
Simple methods for estimating the numbers of synonymous and nonsynonymous nucleotide substitutions.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:W7OEmFMy1HYC,"M Nei, T Gojobori","Molecular biology and evolution 3 (5), 418-426, 1986",VxOmZDgAAAAJ:W7OEmFMy1HYC
Prospects for inferring very large phylogenies by using the neighbor-joining method,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:0EnyYjriUFMC,"K Tamura, M Nei, S Kumar","Proceedings of the National Academy of Sciences 101 (30), 11030-11035, 2004",VxOmZDgAAAAJ:0EnyYjriUFMC
The bottleneck effect and genetic variability in populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:eQOLeE2rZwMC,"M Nei, T Maruyama, R Chakraborty","Evolution, 1-10, 1975",VxOmZDgAAAAJ:eQOLeE2rZwMC
Accuracy of estimated phylogenetic trees from molecular data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Se3iqnhoufwC,"M Nei, F Tajima, Y Tateno","Journal of molecular evolution 19 (2), 153-170, 1983",VxOmZDgAAAAJ:Se3iqnhoufwC
Molecular population genetics and evolution.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:WF5omc3nYNoC,M Nei,"Molecular population genetics and evolution., 1975",VxOmZDgAAAAJ:WF5omc3nYNoC
Pattern of nucleotide substitution at major histocompatibility complex class I loci reveals overdominant selection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:roLk4NBRz8UC,"AL Hughes, M Nei","Nature 335 (6186), 167-170, 1988",VxOmZDgAAAAJ:roLk4NBRz8UC
Sampling variances of heterozygosity and genetic distance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:UebtZRa9Y70C,"M Nei, AK Roychoudhury","Genetics 76 (2), 379-390, 1974",VxOmZDgAAAAJ:UebtZRa9Y70C
Relationships between gene trees and species trees.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:8k81kl-MbHgC,"P Pamilo, M Nei","Molecular biology and evolution 5 (5), 568-583, 1988",VxOmZDgAAAAJ:8k81kl-MbHgC
