title,link,authors,publication
A monte carlo hyper-heuristic to optimise component placement sequencing for multi head placement machine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:u5HHmVD_uO8C,"M Ayob, G Kendall","Proceedings of the international conference on intelligent technologies …, 2003"
A honey-bee mating optimization algorithm for educational timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:d1gkVwhDpl0C,"NR Sabar, M Ayob, G Kendall, R Qu","European Journal of Operational Research 216 (3), 533-543, 2012"
A survey of surface mount device placement machine optimisation: Machine classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:u-x6o8ySG0sC,"M Ayob, G Kendall","European Journal of Operational Research 186 (3), 893-914, 2008"
A graph coloring constructive hyper-heuristic for examination timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:2osOgNQ5qMEC,"NR Sabar, M Ayob, R Qu, G Kendall","Applied Intelligence 37 (1), 1-11, 2012"
A dynamic multiarmed bandit-gene expression programming hyper-heuristic for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:aqlVkmm33-oC,"NR Sabar, M Ayob, G Kendall, R Qu","IEEE transactions on cybernetics 45 (2), 217-228, 2014"
A harmony search algorithm for nurse rostering problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:UeHWp8X0CEIC,"M Hadwan, M Ayob, NR Sabar, R Qu","Information Sciences 233, 126-140, 2013"
Automatic design of a hyper-heuristic framework with gene expression programming for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:Zph67rFs4hoC,"NR Sabar, M Ayob, G Kendall, R Qu","IEEE Transactions on Evolutionary Computation 19 (3), 309-325, 2014"
Grammatical evolution hyper-heuristic for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:Y0pCki6q_DkC,"NR Sabar, M Ayob, G Kendall, R Qu","IEEE Transactions on Evolutionary Computation 17 (6), 840-861, 2013"
Hybrid ant colony systems for course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:qjMakFHDy7sC,"M Ayob, G Jaradat","2009 2nd Conference on Data Mining and Optimization, 120-126, 2009"
Meta-harmony search algorithm for the vehicle routing problem with time windows,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:O3NaXMp0MMsC,"ET Yassen, M Ayob, MZA Nazri, NR Sabar","Information Sciences 325, 140-158, 2015"
Hybrid elitist-ant system for nurse-rostering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:1qzjygNMrQYC,"GM Jaradat, A Al-Badareen, M Ayob, M Al-Smadi, I Al-Marashdeh, ...","Journal of King Saud University-Computer and Information Sciences 31 (3 …, 2019"
Optimisation for surface mount placement machines,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:9yKSN-GCB0IC,"M Ayob, P Cowling, G Kendall","2002 IEEE International Conference on Industrial Technology, 2002. IEEE ICIT …, 2002"
A triple objective function with a Chebychev dynamic pick-and-place point specification approach to optimise the surface mount placement machine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:zYLM7Y9cAGgC,"M Ayob, G Kendall","European Journal of Operational Research 164 (3), 609-626, 2005"
Population based local search for university course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:_kc_bZDykSQC,"A Abuhamdah, M Ayob, G Kendall, NR Sabar","Applied intelligence 40 (1), 44-53, 2014"
Gender differences in computer literacy level among undergraduate students in Universiti Kebangsaan Malaysia (UKM),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:Se3iqnhoufwC,"NAM Zin, HB Zaman, HM Judi, NA Mukti, HM Amin, S Sahran, K Ahmad, ...","The Electronic Journal of Information Systems in Developing Countries 1 (1), 1-8, 2000"
Feature ranking for enhancing boosting-based multi-label text categorization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:dTyEYWd-f8wC,"B Al-Salemi, M Ayob, SAM Noah","Expert Systems with Applications 113, 531-543, 2018"
Roulette wheel graph colouring for solving examination timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:WF5omc3nYNoC,"NR Sabar, M Ayob, G Kendall, R Qu","International conference on combinatorial optimization and applications, 463-470, 2009"
Multi-label Arabic text categorization: A benchmark and baseline comparison of multi-label learning algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:SdhP9T11ey4C,"B Al-Salemi, M Ayob, G Kendall, SAM Noah","Information Processing & Management 56 (1), 212-227, 2019"
