title,link,authors,publication
The state of the art of nurse rostering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:4fKUyHm3Qg0C,"EK Burke, P De Causmaecker, GV Berghe, H Van Landeghem","Journal of scheduling 7 (6), 441-499, 2004"
Hyper-heuristics: A survey of the state of the art,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:DUooU5lO8OsC,"EK Burke, M Gendreau, M Hyde, G Kendall, G Ochoa, E Özcan, R Qu","Journal of the Operational Research Society 64 (12), 1695-1724, 2013"
Hyper-heuristics: An emerging direction in modern search technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:tS2w5q8j5-wC,"E Burke, G Kendall, J Newall, E Hart, P Ross, S Schulenburg","Handbook of metaheuristics, 457-474, 2003"
Search methodologies: introductory tutorials in optimization and decision support techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:LPZeul_q3PIC,"EK Burke, EK Burke, G Kendall, G Kendall","Springer, 2014"
An orchestrated survey of methodologies for automated software test case generation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:nPT8s1NX_-sC,"S Anand, EK Burke, TY Chen, J Clark, MB Cohen, W Grieskamp, ...","Journal of Systems and Software 86 (8), 1978-2001, 2013"
A tabu-search hyperheuristic for timetabling and rostering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:sSrBHYA8nusC,"EK Burke, G Kendall, E Soubeiga","Journal of heuristics 9 (6), 451-470, 2003"
Recent research directions in automated timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:B3FOqHPlNUQC,"EK Burke, S Petrovic","European journal of operational research 140 (2), 266-280, 2002"
A graph-based hyper-heuristic for educational timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:geHnlv5EZngC,"EK Burke, B McCollum, A Meisels, S Petrovic, R Qu","European Journal of Operational Research 176 (1), 177-192, 2007"
A classification of hyper-heuristic approaches,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:KNjnJ3z-R6IC,"EK Burke, M Hyde, G Kendall, G Ochoa, E Özcan, JR Woodward","Handbook of Metaheuristics, 449-468, 2010"
A survey of search methodologies and automated system development for examination timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:olpn-zPbct0C,"R Qu, EK Burke, B McCollum, LTG Merlot, SY Lee","Journal of scheduling 12 (1), 55-89, 2009"
A new placement heuristic for the orthogonal stock-cutting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:mvPsJ3kp5DgC,"EK Burke, G Kendall, G Whitwell","Operations Research 52 (4), 655-671, 2004"
A memetic algorithm for university exam timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:8AbLer7MMksC,"EK Burke, JP Newall, RF Weare","international conference on the practice and theory of automated timetabling …, 1995"
Diversity in genetic programming: An analysis of measures and correlation with fitness,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:VOx2b1Wkg3QC,"EK Burke, S Gustafson, G Kendall","IEEE Transactions on Evolutionary Computation 8 (1), 47-62, 2004"
Automated university timetabling: The state of the art,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:fQNAKQ3IYiAC,"E Burke, K Jackson, JH Kingston, R Weare","The computer journal 40 (9), 565-571, 1997"
